lake,name,DOY,year,Canthaxanthin_surface,SS,temp_surface,TDN_ug_L,TDP_ug_L
B,Buffalo Pound,160,2014,0.083625153,6.05E-13,16.9,594,37
B,Buffalo Pound,161,2008,0.039595129,0.187323459,15.6,521,21.2
B,Buffalo Pound,166,1998,0.483314154,1.08283439,18,350,30
B,Buffalo Pound,168,2004,0.178985572,NA,NA,283.41,11.7
B,Buffalo Pound,168,2005,0,0.190495141,19.2,345.08,29.6
B,Buffalo Pound,168,2013,0.020772895,0.23002442,17.6,475,24
B,Buffalo Pound,170,1996,0,0.669322393,19.5,NA,NA
B,Buffalo Pound,170,2006,0,2.124988609,18.3,434,20.59
B,Buffalo Pound,170,2007,0.119702911,0.338106546,17.6,596,15
B,Buffalo Pound,170,2012,0.048846194,-0.08668364,17.2,480,23
B,Buffalo Pound,171,2002,1.269097991,8.053956705,21.5,793.7,25
B,Buffalo Pound,171,2003,1.164468443,3.222444352,22.5,493.8,30
B,Buffalo Pound,171,2011,0.108277951,1.258088419,18.8,547,40
B,Buffalo Pound,172,2010,0.124944935,1.636480991,20.2,393,20
B,Buffalo Pound,172,2016,0.240393333,0.058915204,18.9,530,21
B,Buffalo Pound,173,2009,0.096531284,0.195642291,19.7,467,49
B,Buffalo Pound,174,2014,0.025235812,0.088325777,17.6,558,32
B,Buffalo Pound,175,2008,0.107686463,0.267555554,19.9,508,42
B,Buffalo Pound,178,2003,1.688943968,5.44E-13,18.9,462.3,17
B,Buffalo Pound,180,2004,0.545281338,5.012025571,20.70000076,334.23,18
B,Buffalo Pound,180,2012,0.239124074,0.364211874,19.6,463,15
B,Buffalo Pound,181,2005,0,0.236399835,17.7,437.98,45.3
B,Buffalo Pound,183,2013,1.067127334,3.587208469,24.8,523,34
B,Buffalo Pound,184,2002,0.427334691,3.262392226,21.5,414.9,40
B,Buffalo Pound,184,2007,0.37812552,0.541628264,21.1,585,16
B,Buffalo Pound,185,1996,0.12491812,2.142092211,22,NA,NA
B,Buffalo Pound,185,2006,0.814232476,5.165987352,24.8,471.2,24.664
B,Buffalo Pound,185,2011,0.840817668,3.28E-12,21.9,740,64
B,Buffalo Pound,186,2010,0.311493383,0.156384281,22.2,490,26
B,Buffalo Pound,186,2016,0.819085,-0.090567123,21,580,27
B,Buffalo Pound,187,2009,0.057761816,0.23540002,20.9,361,15
B,Buffalo Pound,188,2014,0.338920201,6.46E-12,21.1,1160,95
B,Buffalo Pound,189,2008,0.107500295,-0.218934494,21.5,434,18.1
B,Buffalo Pound,194,2004,0.407763123,0.063749961,20.39999962,462.2,16
B,Buffalo Pound,194,2011,0.112674084,0.354639932,21.8,617,33
B,Buffalo Pound,195,2003,2.079844207,0.336368461,21.3,490.7,40
B,Buffalo Pound,195,2010,0.154139651,-0.101592561,20,487,22
B,Buffalo Pound,196,2005,0.555604715,1.753584191,24.1,376.7,48.1
B,Buffalo Pound,196,2013,1.809387778,-0.21289825,20.9,555,22
B,Buffalo Pound,197,2007,0.492449233,0.2917303,23.5,531,17
B,Buffalo Pound,198,2006,1.519740893,NA,NA,523.8,22.936
B,Buffalo Pound,198,2012,1.138502585,-0.116610553,23,748,53
B,Buffalo Pound,200,2016,6.686735,2.277403759,22.6,585,23
B,Buffalo Pound,201,1996,2.947305859,3.11E-12,22,NA,NA
B,Buffalo Pound,201,2009,0.044205838,3.20E-12,19.5,485,25
B,Buffalo Pound,202,2014,0.612029115,0.228451479,21.7,776,31
B,Buffalo Pound,203,2002,0.25995102,2.159033141,23,419.7,31
B,Buffalo Pound,203,2008,0.544023011,1.008734115,22,473,19.5
B,Buffalo Pound,207,2012,0.660224044,-0.119026142,23.5,634,45
B,Buffalo Pound,210,2003,4.098610251,0.082121199,23.3,505.6,18
B,Buffalo Pound,210,2005,3.245323005,0.069142371,19.6,525,23
B,Buffalo Pound,210,2013,0.981086658,0.059894686,19.2,605,28
B,Buffalo Pound,211,2004,2.361069311,0.68712838,19.39999962,535.14,24
B,Buffalo Pound,211,2007,0.526590386,2.799143544,26.1,469,13
B,Buffalo Pound,212,1998,0.603346021,0.98731029,20,400,20
B,Buffalo Pound,212,2006,0.52620194,-0.154168214,22.1,532.1,31.55
B,Buffalo Pound,214,2011,0.12181495,0.949249225,23.1,643,132
B,Buffalo Pound,215,1996,0.608922723,3.000540597,24,NA,NA
B,Buffalo Pound,215,2010,0.716760319,2.85E-12,23,694,54
B,Buffalo Pound,215,2016,2.071005,0.377363589,22.6,758,34
B,Buffalo Pound,216,2009,0.128967277,0.202807968,19.3,560,43
B,Buffalo Pound,217,2014,0.14158809,1.756143652,24.1,672,33
B,Buffalo Pound,218,2002,0.663627512,5.17E-12,16.5,1280,13
B,Buffalo Pound,218,2008,7.203629366,0.849363937,21.5,491,9.01
B,Buffalo Pound,223,2005,1.815219406,-0.139591201,20,576.2,23
B,Buffalo Pound,223,2006,0.680813781,0.067081475,21.5,510.63,19.275
B,Buffalo Pound,224,2004,2.591572984,0.125829843,18.20000076,709.5,16.5
B,Buffalo Pound,224,2013,0.934569968,0.405133686,20.5,618,10
B,Buffalo Pound,225,2003,0.819509604,0.161557931,23.3,452.1,56
B,Buffalo Pound,225,2007,0.71632739,0.099518179,19.7,493,20
B,Buffalo Pound,226,2012,4.111872114,0.181248353,22.2,631,51
B,Buffalo Pound,227,2011,1.424150674,1.014888859,22.5,632,60
B,Buffalo Pound,228,2010,0.693876357,0.239066715,19.5,604,28
B,Buffalo Pound,228,2016,5.40463,1.502948981,22.3,749,42
B,Buffalo Pound,229,2009,0.167313522,0.122857983,17.8,463,20
B,Buffalo Pound,230,2014,0.116213489,0.071777581,23,732,66
B,Buffalo Pound,231,2008,0.842716723,1.098914049,21.5,549,13.6
B,Buffalo Pound,232,1996,0.892006727,-2.99E-12,21,NA,NA
B,Buffalo Pound,232,2003,0.371780119,-0.158889518,22.8,414.9,132
B,Buffalo Pound,234,2007,0.322216026,2.85E-12,17.3,490,20
B,Buffalo Pound,238,2013,1.270564381,1.029490756,22.6,608,18
B,Buffalo Pound,240,2006,1.979228916,0.288058378,20.1,542.4,27.71
B,Buffalo Pound,240,2012,1.740649811,0.290973172,18.8,1110,121
B,Buffalo Pound,241,2011,0.174449022,0.104671232,20.7,597,45
B,Buffalo Pound,242,2010,0.305932419,6.91E-13,17.8,660,28
B,Buffalo Pound,242,2016,0.53624,0.447322812,18.2,799,40
B,Buffalo Pound,243,2009,0.116485677,0.201710725,19.2,567,49
C,Crooked,127,2004,0,0.643560116,7.099999905,746.58,170.7
C,Crooked,129,2007,0,2.356980759,11.8,839,67
C,Crooked,130,2006,0,0.584810394,10.1,936.5,93.359
C,Crooked,130,2012,0,1.187157686,8.5,1390,174
C,Crooked,131,2005,0,0.838676793,7.7,850.8,108.3
C,Crooked,131,2011,0,NA,NA,1180,104
C,Crooked,131,2016,0,6.719261877,10.2,963,132
C,Crooked,132,2010,0,6.994905404,10.9,982,105
C,Crooked,133,2002,0.077675489,9.80385213,11,853.8,124
C,Crooked,133,2003,0.05461627,11.67291721,10.2,766.8,96
C,Crooked,134,2009,0,3.193782492,7.9,833,89
C,Crooked,134,2014,0,0.364439719,6.8,1060,106
C,Crooked,135,2008,0,6.955206533,10.2,928,42.4
C,Crooked,138,1996,0.068035762,7.41650898,8.5,NA,NA
C,Crooked,140,2004,0,8.640117661,10.69999981,898.4,128.4
C,Crooked,143,2013,0,4.313900942,11,2090,196
C,Crooked,144,2005,0,5.421458915,11.6,951,16.3
C,Crooked,144,2007,0,0.816090228,11.4,837,58
C,Crooked,145,2006,0.08681713,4.781139771,15.5,792,36
C,Crooked,145,2012,0,-0.407780807,11.9,1100,126
C,Crooked,146,2003,0.051119767,3.628489544,11.7,778,103
C,Crooked,146,2011,0,27.52633923,14.3,918,80
C,Crooked,147,2002,0.030444239,9.210396936,12,864,58
C,Crooked,147,2009,0,1.23961007,9.5,867,80
C,Crooked,147,2010,0,-0.024926445,11.7,907,96
C,Crooked,147,2016,0,14.26491687,14.7,1100,138
C,Crooked,148,2014,0.009289404,54.99247613,15.3,1170,154
C,Crooked,149,2008,0,13.62311563,13.1,863,40.4
C,Crooked,152,1996,0.779808799,35.48719616,16,NA,NA
C,Crooked,154,2004,0,7.827561598,12.5,892.19,95.7
C,Crooked,156,2013,0,17.63393002,15.3,1400,130
C,Crooked,157,2005,0,14.47779962,14.9,815.57,71.2
C,Crooked,157,2006,0,30.49469538,18.9,810.64,83.749
C,Crooked,158,2007,0,1.865823477,13.5,788,69
C,Crooked,158,2012,0,8.389913243,14.3,1380,144
C,Crooked,159,2011,0,15.36001631,14.8,955,102
C,Crooked,160,2003,0.037886165,3.567416715,16.1,648.9,110
C,Crooked,160,2010,0,9.836061907,15.2,935,84
C,Crooked,160,2016,0,15.87794336,16.1,1160,154
C,Crooked,162,2002,0.050898469,1.253826596,12.8,804.4,58
C,Crooked,162,2009,0,8.563635199,13.6,1020,108
C,Crooked,162,2014,0,4.864070178,14.9,1100,161
C,Crooked,163,2008,0,3.905474064,12.6,909,51.6
C,Crooked,165,1996,0.143228291,83.95013996,22,NA,NA
C,Crooked,167,2004,0,1.634119435,14.19999981,855.45,111.2
C,Crooked,170,2013,0,22.21714972,18.9,1320,131
C,Crooked,171,2005,0,79.18664204,20.8,840.57,78.7
C,Crooked,171,2006,0.190862734,20.34341697,18.9,833.2,111.059
C,Crooked,171,2007,0.013712684,7.383888093,18.2,801,92
C,Crooked,172,2002,0.042422767,19.02788706,17.5,839.8,48
C,Crooked,172,2012,0,6.627011171,16.8,1460,176
C,Crooked,173,2011,0,28.58861131,19.2,1170,153
C,Crooked,174,2010,0,40.41988416,19.6,1060,103
C,Crooked,174,2016,0,12.32785056,19.6,1210,181
C,Crooked,175,2003,0.142405064,15.34582223,19.6,799.4,161
C,Crooked,175,2009,0.094479858,45.07988915,19.3,966,93
C,Crooked,176,2014,0,14.21319903,17.4,1420,183
C,Crooked,177,2008,0.394927593,12.89911754,18.9,775,34.6
C,Crooked,179,1996,0.032437815,31.22849946,18.5,NA,NA
C,Crooked,181,2004,0,29.55188037,19,838.64,220
C,Crooked,185,2005,0.022962362,29.08627071,19.9,1174,150.5
C,Crooked,185,2007,0.208798658,24.39375088,21.6,743,112
C,Crooked,185,2013,0,76.23295229,24.2,1340,139
C,Crooked,186,2002,1.026378685,38.10466654,20.5,709.1,60
C,Crooked,187,2006,0.591735414,31.19683814,21.6,921.1,125.33
C,Crooked,187,2011,0,104.5821034,24.3,1530,216
C,Crooked,187,2012,0.234792741,3.728543438,21.5,1210,161
C,Crooked,188,2003,0.172446225,2.505301437,19.2,766.5,193
C,Crooked,188,2010,0,11.66316683,21.6,1150,162
C,Crooked,188,2016,8.712705,36.28064153,22.9,1120,179
C,Crooked,189,2009,0.036619864,17.95276238,18.8,825,101
C,Crooked,191,2008,0.713732214,12.4221572,20.3,856,54.1
C,Crooked,195,2004,0.543774654,9.432783455,19.89999962,939.74,106.5
C,Crooked,197,1996,8.815437727,40.79495347,24,NA,NA
