lake,name,DOY,year,Canthaxanthin_surface,SS,temp_surface,TDN_ug_L,TDP_ug_L
L,Last Mountain,164,2014,0.004444929,32.23200086,13.9,967,68
L,Last Mountain,165,2008,0.031480591,3.571626989,12.6,1120,18.7
L,Last Mountain,165,2016,0.008725,13.54502568,17.1,869,33
L,Last Mountain,168,2003,0.008126051,48.23733302,19.6,1057.4,47
L,Last Mountain,172,2013,0,25.40751462,16.2,945,52
L,Last Mountain,173,2004,0,8.985899369,13.5,969.49,19.9
L,Last Mountain,173,2007,0,35.82478167,17.2,925,23
L,Last Mountain,174,2006,0.014028453,40.35224863,17.9,958,28.693
L,Last Mountain,174,2012,0.266278207,29.81989263,17.2,996,23
L,Last Mountain,175,2005,0,93.72567955,17.1,893.19,22.8
L,Last Mountain,175,2011,0,111.7636621,17.4,931,18
L,Last Mountain,176,2010,0.0182381,165.0079413,18.7,1020,15
L,Last Mountain,176,2016,0.287835,18.69581137,18.9,877,23
L,Last Mountain,177,1996,0.078628031,12.668899,15,NA,NA
L,Last Mountain,177,2009,0.023524474,91.87569675,17.5,970,32
L,Last Mountain,178,2014,0.015201533,36.20105093,15.7,1220,104
L,Last Mountain,179,2002,0.305107551,296.8542585,21.5,1087.2,21
L,Last Mountain,183,2003,0,48.23733302,19.6,999.5,30
L,Last Mountain,183,2008,0.015895838,74.36595689,18.3,1020,17.4
L,Last Mountain,186,2013,0,197.4568731,21.3,956,29
L,Last Mountain,187,2004,0.011153404,44.2525675,16.39999962,951.28,27.8
L,Last Mountain,188,2006,0.157466952,62.44521542,18.9,985.83,30.388
L,Last Mountain,188,2012,0.543007052,75.34647573,20.1,1030,39
L,Last Mountain,189,2005,0.057163059,188.6612833,19.5,908.42,26.1
L,Last Mountain,189,2011,0,158.6104459,21.5,1010,51
L,Last Mountain,190,2016,2.187585,86.4859033,21.1,946,45
L,Last Mountain,191,1996,0.069841551,86.49172457,19,NA,NA
L,Last Mountain,191,2007,0,38.95326087,19.4,892,27
L,Last Mountain,191,2009,0,8.329442945,17.3,1150,71
L,Last Mountain,192,2003,0.419248473,18.23100818,20.5,970.5,70
L,Last Mountain,192,2014,0.02489403,23.86152458,18.3,1140,96
L,Last Mountain,193,2002,0.269195362,196.0819136,21.3,1061.8,22
L,Last Mountain,193,2008,0.063577502,42.01542649,18.8,1080,22.3
L,Last Mountain,200,2013,0.030727365,76.21574328,20.7,1010,80
L,Last Mountain,201,2004,0.178970567,270.0548945,23,1113.78,25.3
L,Last Mountain,201,2007,0.109048638,30.52245173,21.5,918,26
L,Last Mountain,202,2005,0.209842042,119.8072717,20.2,869.52,33.3
L,Last Mountain,202,2006,2.601279787,21.5334151,21.8,992.76,27.553
L,Last Mountain,202,2012,0.326795124,114.0908031,22.3,1060,51
L,Last Mountain,202,2016,1.560945,62.77726973,21.8,1010,75
L,Last Mountain,203,2011,0.048279956,12.96053028,20.6,876,33
L,Last Mountain,204,1996,0,42.84066286,20,NA,NA
L,Last Mountain,204,2010,0.365627359,113.3302663,21.8,1010,27
L,Last Mountain,205,2009,0.030932465,62.95048691,19.3,970,32
L,Last Mountain,206,2002,0.323979818,238.1375801,24,1104,56
L,Last Mountain,206,2014,0.035453015,11.14080942,20.1,1030,98
L,Last Mountain,207,2008,1.263011985,28.879883,20.9,1100,25.8
L,Last Mountain,212,2004,0.355050013,48.28691035,18.89999962,976.09,31.4
L,Last Mountain,214,2013,0.669516042,25.13099329,19.6,1010,82
L,Last Mountain,215,2007,0.27431885,21.03568617,22.3,1030,31
L,Last Mountain,216,2006,0.279759281,3.008586408,21.1,1004.65,46.588
L,Last Mountain,216,2012,0.364998015,21.50643989,22.2,1030,28
L,Last Mountain,217,2011,0.167105724,67.55154342,22.1,876,32
L,Last Mountain,218,2010,0.323275189,10.92715758,21.3,1190,42
L,Last Mountain,219,2009,0.458717866,6.589356309,18.9,981,55
L,Last Mountain,220,2003,0.318934231,35.21103678,22,999.3,64
L,Last Mountain,220,2005,0.917885635,61.60757407,20.8,879.52,31.1
L,Last Mountain,220,2014,0.169618703,44.62546077,21.8,1230,147
L,Last Mountain,221,1996,0.025095158,39.81579765,20,NA,NA
L,Last Mountain,221,2008,1.142908461,31.58079385,21.3,988,19.6
L,Last Mountain,221,2016,0.288835,25.04232912,21.7,1130,117
L,Last Mountain,226,2002,0.316809773,13.42123239,19,1130.8,72
L,Last Mountain,228,2013,0.213581536,22.57136364,20.3,1010,88
L,Last Mountain,229,2007,0.128040761,4.421741404,20.1,980,45
L,Last Mountain,230,2006,0.291778322,-3.29E-10,20.2,1101.68,83.051
L,Last Mountain,230,2012,0.58142018,25.22548004,20.4,1060,102
L,Last Mountain,231,2005,0.427215625,1.511464484,18.3,1232.5,32.4
L,Last Mountain,231,2011,0.19109661,6.637054264,20.4,1080,83
L,Last Mountain,232,2004,0.563777994,12.2603657,18.20000076,840,169.8
L,Last Mountain,232,2010,0.285867226,10.31173686,19.7,1180,54
L,Last Mountain,232,2016,0.10229,NA,NA,NA,NA
L,Last Mountain,233,1996,0.036558378,13.29685143,19.5,NA,NA
L,Last Mountain,233,2009,0.149243704,4.921231017,17.9,1010,61
L,Last Mountain,234,2003,0.257856068,2.021803244,21.8,937.7,74
L,Last Mountain,234,2014,0.036154312,11.49206759,21,1180,157
L,Last Mountain,238,2002,0.208090644,107.4275237,19.8,1091,58
L,Last Mountain,239,2008,0.602935082,0.518056992,19.9,1090,55.8
L,Last Mountain,242,2013,0.71293162,30.69037015,21.3,1100,92
L,Last Mountain,243,2006,0.433960279,-8.25E-11,19.6,1037.6,66.687
L,Last Mountain,243,2007,0.200118619,2.119397631,18,1030,63
P,Pasqua,128,2007,0,21.48881136,13.5,2210,92
P,Pasqua,129,2005,0,5.143273354,8.9,830,71.9
P,Pasqua,129,2006,0,1.938947175,10.4,1155,24.59
P,Pasqua,129,2012,0,NA,NA,1760,29
P,Pasqua,130,2011,0,6.696145109,9.2,1460,113
P,Pasqua,132,2009,0,14.96199252,10,2230,59
P,Pasqua,133,2014,0,1.066239721,6.9,1860,90
P,Pasqua,134,2004,0,3.678921412,10.30000019,770.57,60.7
P,Pasqua,134,2008,0,2.101090361,8.6,3100,100
P,Pasqua,134,2016,0.008345,-8.07E-11,10.1,2460,137
P,Pasqua,140,2016,0,NA,NA,NA,NA
P,Pasqua,142,2013,0.072683596,55.02904577,15.3,2660,163
P,Pasqua,143,2007,0,-0.26323741,12.3,1910,83
P,Pasqua,144,2006,0,61.80297054,16.7,769,53
P,Pasqua,144,2012,0,10.74115905,13.9,1740,31
P,Pasqua,145,2005,0,1.62413628,11.8,889,25.4
P,Pasqua,145,2011,0,53.54431232,15.9,954,196
P,Pasqua,146,2009,0,NA,NA,1970,41
P,Pasqua,146,2010,0,0.555939517,11.8,1370,22
P,Pasqua,146,2016,0,23.11995026,14.8,2050,69
P,Pasqua,147,2014,0.089990439,57.69415383,15.2,2410,187
P,Pasqua,148,2008,0,5.566433799,12.6,2740,111
P,Pasqua,149,2004,0,2.332204073,10.19999981,842.87,83.5
P,Pasqua,155,2013,0,46.32741395,15.9,1530,92
P,Pasqua,157,2007,0,42.15263159,16.4,1570,76
P,Pasqua,157,2012,0,11.61176052,14.6,1930,57
P,Pasqua,158,2006,0,60.25925614,19,1219,78.374
P,Pasqua,158,2011,0,19.39897555,14.2,863,206
P,Pasqua,159,2005,0,3.138415072,13.5,814,25.3
P,Pasqua,159,2010,0,34.09279051,15.4,1400,33
P,Pasqua,159,2016,0,19.79931921,16.4,2240,128
P,Pasqua,160,2009,0.114920133,0.579802338,12.5,1940,90
P,Pasqua,161,2004,0,12.46417607,14.10000038,871.47,114.7
P,Pasqua,162,2008,0,9.2895742,14.7,2400,72.8
P,Pasqua,169,2013,0,30.56734641,18,1910,139
P,Pasqua,170,2007,0,20.11128353,17.4,1850,152
P,Pasqua,171,2012,0,0.682405117,16.3,2080,91
P,Pasqua,172,2005,0,56.30130687,19.2,779,78.8
P,Pasqua,172,2006,0,3.001877252,17.2,171,5
P,Pasqua,172,2011,0,31.65363141,17.5,1130,272
P,Pasqua,173,2010,0,46.15374874,18.6,1110,78
P,Pasqua,173,2016,0.01634,14.99023443,18.9,2190,147
P,Pasqua,174,2009,0,34.10214816,17.8,2030,142
P,Pasqua,175,2014,0,10.35564716,16.8,1920,123
P,Pasqua,176,2004,0,0.238222836,14.69999981,850.5,156.4
P,Pasqua,176,2008,0,69.54699647,19.6,2690,168
P,Pasqua,184,2013,0,92.61967889,23.4,1880,181
P,Pasqua,186,2006,0,NA,19.6,1129,79.724
P,Pasqua,186,2011,0,80.22307022,23,1140,371
P,Pasqua,186,2012,0,13.93364618,20.9,1870,108
P,Pasqua,187,2007,0.158929364,69.0472911,22.6,1650,146
P,Pasqua,187,2010,0,52.55460432,20.7,724,76
P,Pasqua,187,2016,4.529385,25.60914231,21,2010,154
P,Pasqua,188,2005,0.161893033,73.29595022,21.5,823,137
P,Pasqua,188,2009,0,24.81947008,19.5,1980,180
P,Pasqua,189,2014,0,34.52273822,20.4,1580,113
P,Pasqua,190,2004,0,10.820648,18.79999924,1077.64,180.1
P,Pasqua,190,2008,0,36.50568216,20.4,2750,203
P,Pasqua,197,2013,0.346736829,13.28222025,21.4,1200,105
P,Pasqua,198,2007,0.185612898,38.58924768,23.1,1280,139
P,Pasqua,199,2006,0.450100837,50.42710179,22.5,1052.5,121.754
P,Pasqua,199,2012,0.082772346,19.1583073,21.8,1910,165
P,Pasqua,200,2005,0.290099146,21.10772857,20.9,997.9,129.8
P,Pasqua,200,2011,0.061600402,52.10294482,25.5,1220,662
P,Pasqua,201,2010,0,46.15721015,21.5,1060,135
P,Pasqua,201,2016,0.116025,18.56014848,21.7,1890,207
P,Pasqua,202,2009,0.500723593,12.4845076,19.2,1940,182
P,Pasqua,203,2014,0,30.07298658,21.8,1660,265
P,Pasqua,204,2004,0.099849518,42.63168763,21.60000038,762.05,210.9
P,Pasqua,204,2008,0.10463328,70.1546063,21.6,2480,217
P,Pasqua,211,2013,0.594631265,11.50350879,20,1270,176
P,Pasqua,212,2007,1.628186171,78.84464268,25.1,1440,190
P,Pasqua,213,2012,0.313200231,30.39259286,23.9,1610,177
P,Pasqua,214,2005,0.372388919,46.77592514,22.4,1189,181.9
P,Pasqua,214,2006,0.512607608,19.71108213,21.4,1115,145.303
P,Pasqua,215,2011,0,25.70212879,22.6,1340,524
P,Pasqua,216,2010,0.192919582,29.7221459,21.9,797,115
P,Pasqua,217,2009,0.086735599,13.33789558,19.2,1550,138
P,Pasqua,218,2014,0.043458649,81.54208221,23.6,1550,299
P,Pasqua,219,2004,1.002212977,4.037312831,20.79999924,956.4,97.4
P,Pasqua,219,2008,0.754765012,19.11639721,21.7,1970,184
P,Pasqua,222,2016,2.665085,11.8626739,22.6,1400,221
P,Pasqua,225,2013,0.125838289,9.089446941,19.9,1210,169
P,Pasqua,226,2007,0.078884247,2.597466808,20.9,1520,205
P,Pasqua,227,2012,0,3.966098114,21.8,1670,282
P,Pasqua,228,2005,0.539968641,2.072728822,19,1229,227.2
P,Pasqua,228,2006,0.65602771,9.697495496,21,1221.9,208.863
P,Pasqua,228,2011,0,7.939469989,21.7,1400,479
P,Pasqua,229,2010,0.066890067,3.038267133,19.9,1580,154
P,Pasqua,229,2016,3.15795,27.60472642,23,1570,242
P,Pasqua,230,2009,0.139597541,5.089009706,18.9,1540,162
P,Pasqua,231,2014,0.33263386,34.33035873,22.8,1540,363
P,Pasqua,232,2008,1.22658627,41.52907867,22.4,1910,197
P,Pasqua,233,2007,0.037638162,1.793740058,19.6,1570,229
P,Pasqua,239,2013,1.917977394,47.55817776,23.5,1910,188
P,Pasqua,242,2005,0,8.169931051,18.9,867.9,133.8
P,Pasqua,242,2006,0.071601844,2.337024852,20.1,1402.4,250.684
P,Pasqua,242,2011,0.167205766,4.980247323,21.1,1260,415
P,Pasqua,243,2010,0.030818584,0.07379146,18.1,1720,186
P,Pasqua,243,2016,0.39601,4.036591108,19.9,1580,266
WW,Wascana,121,2006,0.164492544,0.062190656,13.3,NA,NA
WW,Wascana,121,2007,0,0.754496017,12.5,NA,NA
WW,Wascana,122,2005,0.082616631,0.017284931,7.1,1723,453.2
WW,Wascana,122,2011,0,0.083511313,6.2,1366,301
WW,Wascana,122,2012,0,0.279458728,9.9,1570,54
WW,Wascana,123,2002,0.106886784,0.467088845,8,1561.2,255
WW,Wascana,123,2010,0,0.443524252,9.7,1950,476
WW,Wascana,123,2016,0.0325,0.105995184,13.3,944,84
WW,Wascana,124,2009,0,0.015664604,9.2,2540,481
WW,Wascana,125,1996,0,0.083301396,11.25,NA,NA
WW,Wascana,125,2004,0,0.123461535,10.5,732.62,112
WW,Wascana,125,2014,0,0.047061717,8.7,1240,278
WW,Wascana,126,2003,0.23475259,0.15715635,14.6,973.6,126
WW,Wascana,126,2008,0,0.519500824,9.9,1650,81.2
WW,Wascana,133,2013,0,0.518665892,15,1310,318
WW,Wascana,134,2007,0.019669171,-0.038711671,14.2,1110,202
WW,Wascana,135,2006,0.095498249,0.964210337,14.3,1148.02,191.757
WW,Wascana,135,2012,0,0.090305035,14.8,1600,150
WW,Wascana,136,2003,0,0.09681646,15.7,1090.5,109
WW,Wascana,136,2005,0,0.057095736,10.5,1177,432.4
WW,Wascana,136,2011,0,0.359444542,13.2,1230,350
WW,Wascana,137,2002,0.314950872,NA,13,1280,113
WW,Wascana,137,2010,0,1.581622091,15.7,1250,363
WW,Wascana,137,2016,0.010636667,0.971322419,15.5,821,114
WW,Wascana,139,2004,0,0.097145244,14.80000019,955.2,199.5
WW,Wascana,139,2009,0.079353112,0.021347384,10.1,1380,451
WW,Wascana,140,2014,0.012599537,0.022988328,11.9,1190,253
WW,Wascana,141,2008,0.336053571,0.098666905,13.6,1490,52.8
WW,Wascana,142,1996,0.144622466,-0.026812046,13,NA,NA
WW,Wascana,147,2005,0,-3.22E-13,12.3,1134.5,399
WW,Wascana,147,2013,0.029698728,0.07659622,15.8,1470,468
WW,Wascana,148,2007,0,0.400378843,15.3,1010,160
WW,Wascana,149,2006,0.161050359,-3.66E-12,14.8,1165,201.144
WW,Wascana,149,2012,0,-0.070390534,11.9,3750,222
WW,Wascana,150,2011,0,0.265947454,13.5,1278,469
WW,Wascana,151,2010,0,0.149492653,12.1,1480,351
WW,Wascana,151,2016,0.03493,0.239960059,17.5,827,102
WW,Wascana,152,2004,0,0.024029633,12.30000019,857.72,269.8
WW,Wascana,152,2009,0.09671201,0.079873401,15.7,1290,361
WW,Wascana,153,2003,0.023605087,-0.0902237,18.3,991,248
WW,Wascana,153,2014,0.004932898,0.034823683,16.7,1470,303
WW,Wascana,154,2002,0.215101355,NA,17,1321.9,289
WW,Wascana,154,2008,0.147354011,0.085707163,16.7,1620,49.5
WW,Wascana,156,1996,0.027976454,4.39927881,15.5,NA,NA
WW,Wascana,160,2006,0.190382452,-0.246789253,16.7,1132.86,187.712
WW,Wascana,161,2013,0,0.332926667,18.2,1650,588
WW,Wascana,162,2007,0.072067431,NA,18.7,953,164
WW,Wascana,163,2012,0,-0.080638544,16.5,3000,259
WW,Wascana,164,2005,0,2.691970484,19.1,1014.1,310.2
WW,Wascana,164,2011,0,0.971747157,19,1822,256
WW,Wascana,165,2010,0,0.181358399,17.7,1510,259
WW,Wascana,166,1996,0.011896964,-5.43E-13,21,NA,NA
WW,Wascana,166,2009,0.09461052,0.80487123,19.4,1070,272
WW,Wascana,166,2016,0.212685,0.303430345,21.5,769,135
WW,Wascana,167,2014,0,0.113437846,16.4,1780,338
WW,Wascana,168,2002,0.254271046,0.795103994,18.5,NA,NA
WW,Wascana,168,2008,1.041286877,0.660063571,17.4,1210,34.1
WW,Wascana,171,2003,0.045675843,0.507776893,21.5,1065.8,254
WW,Wascana,173,2016,0.53754,NA,NA,NA,NA
WW,Wascana,175,2013,0,0.253122119,20.2,1420,450
WW,Wascana,176,2007,1.383371197,0.522755047,21.3,1100,145
WW,Wascana,177,2006,0.234092498,2.47753242,21.8,1106.7,164.349
WW,Wascana,177,2012,0.06095685,-0.021737874,19.5,1700,285
WW,Wascana,178,2005,0.059245823,0.103507199,19.9,1139,339.4
WW,Wascana,178,2011,0,0.427479691,20.5,2140,596
WW,Wascana,179,2010,0,-5.43E-13,21,1340,386
WW,Wascana,179,2016,0.39389,0.254418106,20.3,830,225
WW,Wascana,180,1996,0.006196335,1.21325907,22,NA,NA
WW,Wascana,180,2004,0.004149332,0.584697138,20.60000038,1531.05,348
WW,Wascana,180,2009,0.126976418,0.727764267,20.3,1020,421
WW,Wascana,181,2003,0.141187926,3.574698448,21.3,1061.1,233
WW,Wascana,181,2014,0,-1.21E-12,18.3,2330,466
WW,Wascana,182,2008,2.90282878,7.553188566,22,1460,32.9
WW,Wascana,183,2002,3.296892981,0.50882639,22.7,1242.1,282
WW,Wascana,189,2013,0.123631533,0.244963584,23.7,1420,539
WW,Wascana,190,2007,0.393003232,-0.250542283,21.9,973,98
WW,Wascana,191,2006,0.867230806,0.489838898,22.8,1146.18,107.494
WW,Wascana,191,2012,2.758154457,0.032554382,23.8,2260,582
WW,Wascana,192,2005,0.58209899,1.170901755,24,977.3,286
WW,Wascana,192,2011,0,0.163779787,22.1,1940,638
WW,Wascana,193,2010,0,-1.78E-13,21.8,1470,652
WW,Wascana,194,2004,0.662432504,1.85686138,21.5,1766.61,351.2
WW,Wascana,194,2009,0.05551991,4.60E-13,18.9,912,418
WW,Wascana,194,2016,0.5986,-0.05386021,21.6,811,197
WW,Wascana,195,2003,0.358502258,1.261169433,23.5,1206.3,338
WW,Wascana,195,2014,0.019214738,0.910445254,22,2420,842
WW,Wascana,196,2008,0.513091358,0.670794372,20.2,1960,95.6
WW,Wascana,203,2002,3.133575286,2.494797814,24,1450,275
WW,Wascana,203,2013,0.056701717,-0.052131673,20.9,1480,551
WW,Wascana,204,2007,1.121206181,4.185257238,25.5,962,73
WW,Wascana,205,2012,0,0.21232643,24.3,1690,462
WW,Wascana,206,2006,2.117142627,3.261822362,24.4,1155.08,63.635
WW,Wascana,206,2011,0.10315422,1.662985416,23.7,1744,677
WW,Wascana,207,2005,1.021433172,3.343061921,22,1010,314.8
WW,Wascana,207,2010,0.03789055,0.894895671,22.9,1840,899
WW,Wascana,207,2016,0.6453,NA,NA,886,280
WW,Wascana,208,2009,0.215664055,0.083111582,21.6,924,442
WW,Wascana,209,2004,0.766796495,0.522789877,22.10000038,1527.33,344.7
WW,Wascana,209,2014,0.034816578,0.433334198,21.9,2230,928
WW,Wascana,210,2003,1.520979021,0.663465674,23.7,1796,345
WW,Wascana,210,2008,0.774358683,0.11861334,22.8,1460,120
WW,Wascana,213,1996,0.065592635,-0.232646523,18.5,NA,NA
WW,Wascana,217,2005,0,1.148497575,22.3,1100.38,308
WW,Wascana,217,2016,0.29997,0.060750481,22.2,897,369
WW,Wascana,218,2002,1.641143667,1.033344089,18,1344,311
WW,Wascana,218,2013,0.066947551,0.228958591,20.5,1180,493
WW,Wascana,219,2007,0.129522017,1.53414626,22.3,1380,147
WW,Wascana,220,2006,1.200133699,1.063825649,21.5,1313,187.603
WW,Wascana,220,2011,0.187418425,-0.319067206,21.4,1810,857
WW,Wascana,220,2012,0.101572184,0.009906746,23.3,1290,532
WW,Wascana,221,2010,0,0.302975569,22.9,1790,975
WW,Wascana,222,2004,0,0.045954259,18.5,1789.84,374
WW,Wascana,222,2009,0,2.409829992,20.7,959,546
WW,Wascana,223,2003,7.230592193,0.434574433,23.3,1696.9,103
WW,Wascana,223,2014,0.051942624,0.264550539,22.3,1820,872
WW,Wascana,224,2008,0.82446101,-0.05287554,21.2,1650,222
WW,Wascana,229,1996,0.082986634,0.985299524,22,NA,NA
WW,Wascana,231,2002,0.344029389,2.691725389,19,1280,286
WW,Wascana,231,2013,0.128463087,0.288406387,23,1270,573
WW,Wascana,232,2007,0.484637403,0.039371716,18.7,1550,156
WW,Wascana,233,2006,0.501577129,0.859591511,21.7,1308.6,150.11
WW,Wascana,233,2012,0.057766899,0.133821219,21.2,2620,2150
WW,Wascana,234,2011,0,2.138596357,21.7,1488,617
WW,Wascana,235,2010,0,-0.021737874,19.5,1650,1020
WW,Wascana,236,2009,0.168243968,0.091783884,18.7,1180,492
WW,Wascana,238,2008,0.842529997,0.1254738,19.9,1630,242
