"lake","date","year","DOY","microcystin"
"C","2014-08-07",2014,219,0.08
"C","2014-08-20",2014,232,0.08
"C","2015-05-14",2015,134,0.08
"C","2015-05-27",2015,147,0.08
"C","2015-06-10",2015,161,0.309683746
"C","2015-06-24",2015,175,0.660412142
"C","2015-07-08",2015,189,0.306695106
"C","2015-07-23",2015,204,0.252320841
"C","2015-08-06",2015,218,0.294667834
"C","2015-08-19",2015,231,0.08
"C","2016-05-10",2016,131,0.08
"C","2016-05-26",2016,147,0.08
"C","2016-06-08",2016,160,0.08
"C","2016-06-22",2016,174,0.08
"C","2016-07-06",2016,188,2.890056343
"C","2016-07-22",2016,204,1.423128529
"C","2016-08-05",2016,218,0.63539034
"C","2016-08-17",2016,230,0.283991695
"D","2006-05-19",2006,139,0.08
"D","2006-06-16",2006,167,0.08
"D","2006-07-14",2006,195,0.08
"D","2006-08-14",2006,226,0.08
"D","2007-05-07",2007,127,0.08
"D","2007-05-16",2007,136,0.08
"D","2007-05-30",2007,150,0.08
"D","2007-06-13",2007,164,0.08
"D","2007-06-27",2007,178,0.08
"D","2007-07-11",2007,192,0.08
"D","2007-07-25",2007,206,0.08
"D","2007-08-08",2007,220,0.08
"D","2007-08-27",2007,239,0.08
"D","2008-05-06",2008,127,0.08
"D","2008-05-21",2008,142,0.08
"D","2008-06-18",2008,170,0.08
"D","2008-07-02",2008,184,0.08
"D","2008-07-16",2008,198,0.08
"D","2008-07-30",2008,212,0.08
"D","2008-08-13",2008,226,0.08
"D","2008-08-27",2008,240,0.08
"D","2009-05-06",2009,126,0.08
"D","2009-05-25",2009,145,0.08
"D","2009-06-03",2009,154,0.08
"D","2009-06-17",2009,168,0.08
"D","2009-06-30",2009,181,0.08
"D","2009-07-15",2009,196,0.08
"D","2009-07-29",2009,210,0.08
"D","2009-08-12",2009,224,0.08
"D","2009-08-26",2009,238,0.08
"D","2010-05-05",2010,125,0.08
"D","2010-05-19",2010,139,0.08
"D","2010-06-02",2010,153,0.08
"D","2010-06-16",2010,167,0.08
"D","2010-06-30",2010,181,0.08
"D","2010-07-19",2010,200,0.08
"D","2010-07-28",2010,209,0.08
"D","2010-08-11",2010,223,0.08
"D","2010-08-24",2010,236,0.17128329
"D","2011-05-18",2011,138,0.08
"D","2011-06-01",2011,152,0.08
"D","2011-06-15",2011,166,0.08
"D","2011-06-29",2011,180,0.08
"D","2011-07-18",2011,199,0.08
"D","2011-07-27",2011,208,0.08
"D","2011-08-10",2011,222,0.319260555
"D","2011-08-24",2011,236,0.08
"D","2012-05-02",2012,123,0.08
"D","2012-05-16",2012,137,0.08
"D","2012-05-30",2012,151,0.08
"D","2012-06-13",2012,165,0.08
"D","2012-07-11",2012,193,0.08
"D","2012-07-30",2012,212,0.08
"D","2012-08-08",2012,221,0.244824163
"D","2012-08-22",2012,235,0.08
"D","2013-05-15",2013,135,0.266380752
"D","2013-05-29",2013,149,0.260260106
"D","2013-06-12",2013,163,0.172606992
"D","2013-06-26",2013,177,0.08
"D","2013-07-10",2013,191,0.08
"D","2013-07-24",2013,205,0.176666263
"D","2013-08-07",2013,219,0.08
"D","2013-08-21",2013,233,0.08
"D","2014-05-21",2014,141,0.08
"D","2014-06-04",2014,155,0.08
"D","2014-06-18",2014,169,0.08
"D","2014-07-02",2014,183,0.08
"D","2014-07-16",2014,197,0.08
"D","2014-07-30",2014,211,0.08
"D","2014-08-13",2014,225,0.08
"D","2015-05-05",2015,125,0.08
"D","2015-05-20",2015,140,0.08
"D","2015-06-03",2015,154,0.08
"D","2015-06-17",2015,168,0.08
"D","2015-06-30",2015,181,0.08
"D","2015-07-15",2015,196,0.08
"D","2015-07-31",2015,212,0.08
"D","2015-08-12",2015,224,0.08
"D","2016-05-06",2016,127,0.08
"D","2016-05-19",2016,140,0.08
"D","2016-06-01",2016,153,0.08
"D","2016-06-15",2016,167,0.08
"D","2016-06-28",2016,180,0.08
"D","2016-07-14",2016,196,0.08
"D","2016-08-10",2016,223,0.08
"K","2006-05-17",2006,137,0.08
"K","2006-06-14",2006,165,0.08
"K","2006-07-12",2006,193,0.574431554
"K","2006-08-09",2006,221,0.95004418
"K","2007-05-04",2007,124,0.08
"K","2007-05-18",2007,138,0.08
"K","2007-06-01",2007,152,0.08
"K","2007-06-15",2007,166,0.08
"K","2007-06-29",2007,180,0.08
"K","2007-07-13",2007,194,0.08
"K","2007-07-27",2007,208,0.08
"K","2007-08-10",2007,222,0.504120885
"K","2007-08-23",2007,235,0.964784974
"K","2008-05-09",2008,130,0.08
"K","2008-05-23",2008,144,0.08
"K","2008-06-06",2008,158,0.08
"K","2008-06-20",2008,172,0.08
"K","2008-07-05",2008,187,0.08
"K","2008-07-18",2008,200,0.08
"K","2008-08-01",2008,214,0.08
"K","2008-08-15",2008,228,0.08
"K","2008-08-29",2008,242,0.08
"K","2009-05-08",2009,128,0.08
"K","2009-05-22",2009,142,0.08
"K","2009-06-05",2009,156,0.08
"K","2009-06-19",2009,170,0.08
"K","2009-07-03",2009,184,0.08
"K","2009-07-17",2009,198,0.335337878
"K","2009-07-31",2009,212,0.08
"K","2009-08-14",2009,226,0.176709161
"K","2009-08-28",2009,240,0.42882124
"K","2010-05-07",2010,127,0.08
"K","2010-05-21",2010,141,0.08
"K","2010-06-04",2010,155,0.08
"K","2010-06-18",2010,169,0.08
"K","2010-07-02",2010,183,0.08
"K","2010-07-16",2010,197,1.534972895
"K","2010-07-30",2010,211,0.993382181
"K","2010-08-13",2010,225,0.376301981
"K","2010-08-27",2010,239,0.66155426
"K","2011-05-20",2011,140,0.08
"K","2011-06-03",2011,154,0.08
"K","2011-06-17",2011,168,0.08
"K","2011-06-30",2011,181,0.08
"K","2011-07-15",2011,196,0.374817562
"K","2011-07-29",2011,210,8.232426445
"K","2011-08-12",2011,224,6.086641986
"K","2011-08-26",2011,238,3.122742386
"K","2012-05-04",2012,125,0.08
"K","2012-05-18",2012,139,0.08
"K","2012-06-01",2012,153,0.08
"K","2012-06-15",2012,167,0.08
"K","2012-06-29",2012,181,0.08
"K","2012-07-13",2012,195,0.738856581
